title,date,contributors,slug,images,videos,proteins,products,topics,regions,flags,directory,description,body,ID,image_caption,link,resource_type
"Review and analysis of studies on sustainability of cultured meat",2022-03-01T14:37:45-0500,,/research/review-and-analysis-studies-sustainability-cultured-meat,,,Cell-Based,Meat,Environment,Europe,,,"Protein alternatives are crucial for a sustainable food production in future. Cultured meat is presented as a good alternative for consumers who want to be more sustainable but do not wish to change their diet. To validate this sustainability claim, this report evaluates four LCA studies on cultured meat.","<p>Protein alternatives are crucial for a sustainable food production in future. Cultured meat is presented as a good alternative for consumers who want to be more sustainable but do not wish to change their diet. To validate this sustainability claim, this report evaluates four <span class=""caps"">LCA</span> studies on cultured meat. When comparing overall environmental impact of cultured meat with conventional meat products and other meat substitutes, cultured meat was seen to perform significantly better than beef, favourable to pork, similar to chicken, and worse than plant-based alternatives considering current global average production impacts. It is important to realize that currently no commercial-scale cultured meat facility is operational. All <span class=""caps"">LCA</span> studies modelled a future facility, extrapolating scientific and small-scale facilities. Differences in system boundaries lead to high variability of environmental impact results for cultured meat among reviewed studies. The <span class=""caps"">LCA</span> system boundaries mostly include the cultivation-related processes, while product formulation and distribution are not taken into account. An important technical bottleneck that is not addressed are the large volumes of the fermenters and the extended cultivation times, which will need extraordinary sterility measures. The <span class=""caps"">LCA</span> overview shows that cultured meat production is energy intensive and that energy consumption have the highest contribution in the overall impact. Next, growth medium production showed significant contribution to impact, especially the amino acid production and recombinant protein production for growth factors. Sensitivity analysis of model parameters showed that parameter choices on cell density and medium use impacted the results most. Technically, the cultured meat industry is still very much in development. Obvious improvements that are needed are the reduction in energy, development of scaffolds, and lower medium cost, specifically in developing cheaper plant-based growth factors that are non <span class=""caps"">GMO</span>. Also product development is in its infancy. Cultured meat is part of a movement towards more sustainable meat alternatives that also includes plant-based alternatives, insects and microbial protein. These sources should not be regarded as competition but as complementary products that target different types of consumers. In combination with other meat alternatives, cultured meat can lead to reduced production and consumption of conventional&nbsp;meat.</p>",10506,,https://research.wur.nl/en/publications/review-and-analysis-of-studies-on-sustainability-of-cultured-meat,"Academic Research"
"Rapid global phaseout of animal agriculture has the potential to stabilize greenhouse gas levels for 30 years and offset 68 percent of CO2 emissions this century",2022-02-21T18:15:43-0500,,/research/rapid-global-phaseout-animal-agriculture-has-potential-stabilize-greenhouse-gas-levels-30,,,Animal,"Meat, Dairy, Eggs",Environment,International,,,"Animal agriculture contributes significantly to global warming through ongoing emissions of the potent greenhouse gases methane and nitrous oxide, and displacement of biomass carbon on the land used to support livestock. However, because estimates of the magnitude of the effect of ending animal agriculture often focus on only one factor, the full potential benefit of a more radical change remains underappreciated.","<p>Animal agriculture contributes significantly to global warming through ongoing emissions of the potent greenhouse gases methane and nitrous oxide, and displacement of biomass carbon on the land used to support livestock. However, because estimates of the magnitude of the effect of ending animal agriculture often focus on only one factor, the full potential benefit of a more radical change remains underappreciated. Here we quantify the full “climate opportunity cost” of current global livestock production, by modeling the combined, long-term effects of emission reductions and biomass recovery that would be unlocked by a phaseout of animal agriculture. We show that, even in the absence of any other emission reductions, persistent drops in atmospheric methane and nitrous oxide levels, and slower carbon dioxide accumulation, following a phaseout of livestock production would, through the end of the century, have the same cumulative effect on the warming potential of the atmosphere as a 25 gigaton per year reduction in anthropogenic <span class=""caps"">CO2</span> emissions, providing half of the net emission reductions necessary to limit warming to 2°C. The magnitude and rapidity of these potential effects should place the reduction or elimination of animal agriculture at the forefront of strategies for averting disastrous climate&nbsp;change.</p>",10459,,https://journals.plos.org/climate/article?id=10.1371/journal.pclm.0000010,"Academic Research"
"Recombinant production of growth factors for application in cell culture",2022-02-21T04:14:30-0500,,/research/recombinant-production-growth-factors-application-cell-culture,,,"Cell-Based, Microbial",Ingredients,Sci-Tech,"US &amp; Canada",,,"Culturing eukaryotic cells has widespread applications in research and industry, including the emerging field of cell-cultured meat production colloquially referred to as “cellular agriculture”. These applications are often restricted by the high cost of growth medium necessary for cell growth. Mitogenic protein growth factors (GFs) are essential components of growth medium and account for upwards of 90% of the total costs.","<p>Culturing eukaryotic cells has widespread applications in research and industry, including the emerging field of cell-cultured meat production colloquially referred to as “cellular agriculture”. These applications are often restricted by the high cost of growth medium necessary for cell growth. Mitogenic protein growth factors (<span class=""caps"">GF</span>s) are essential components of growth medium and account for upwards of 90% of the total costs. Here, we present a set of expression constructs and a simplified protocol for recombinant production of functionally active <span class=""caps"">GF</span>s, including <span class=""caps"">FGF</span>-2, <span class=""caps"">IGF</span>-1, <span class=""caps"">PDGF</span>-<span class=""caps"">BB</span> and <span class=""caps"">TGF</span>-β1 in Escherichia coli. Using this expression system, we produced soluble <span class=""caps"">GF</span>s from species including bovine, chicken, and fish. Bioactivity analysis revealed orthologs with improved performance compared to commercially available alternatives. We estimated that the production cost of <span class=""caps"">GF</span>s using our methodology will significantly reduce the cost of cell culture medium, facilitating low-cost protocols tailored for cultured meat production and tissue&nbsp;engineering.</p>",10443,,https://www.biorxiv.org/content/10.1101/2022.02.15.480596v1,"Academic Research"
"Industry Reinfected - Emerging Disease Risks and Implications for Policy and Finance",2022-02-17T03:57:36-0500,,/research/industry-reinfected-emerging-disease-risks-and-implications-policy-and-finance,https://www.proteinreport.org/sites/default/files/2022-02/fairr.jpg,,Animal,"Meat, Dairy, Eggs, Seafood","Business, Environment, Health, Policy",International,,,"This working paper provides an update to FAIRR’s ‘An Industry Infected’ report, looking at 60 of the largest protein producers’ performance against a set of indicators related to emerging disease risks. The results show that too little has been done since our original report in 2020, with 63% of the 60 companies still ranked as “High Risk” (or worst performers) in the ranking. However, there is some improvement from our report last year when 73% of companies were ranked as “High Risk”. The paper also aims to shed light on policy developments that aim to prevent future zoonotic diseases.","<p>This working paper provides an update to FAIRR’s ‘An Industry Infected’ report, looking at 60 of the largest protein producers’ performance against a set of indicators related to emerging disease risks. The results show that too little has been done since our original report in 2020, with 63% of the 60 companies still ranked as “High Risk” (or worst performers) in the ranking. However, there is some improvement from our report last year when 73% of companies were ranked as “High Risk”. The paper also aims to shed light on policy developments that aim to prevent future zoonotic diseases.</p>",10435,"report cover",https://www.fairr.org/article/industry-reinfected/,"Industry Report"
"Muscle-derived fibro-adipogenic progenitor cells for production of cultured bovine adipose tissue",2022-01-25T16:46:35-0500,,/research/muscle-derived-fibro-adipogenic-progenitor-cells-production-cultured-bovine-adipose-tissue,,,Cell-Based,Meat,Sci-Tech,Europe,,,"Cultured meat is an emergent technology with the potential for significant environmental and animal welfare benefits. Accurate mimicry of traditional meat requires fat tissue; a key contributor to both the flavour and texture of meat. Here, we show that fibro-adipogenic progenitor cells (FAPs) are present in bovine muscle, and are transcriptionally and immunophenotypically distinct from satellite cells. These two cell types can be purified from a single muscle sample using a simple fluorescence-activated cell sorting (FACS) strategy.","<p>Cultured meat is an emergent technology with the potential for significant environmental and animal welfare benefits. Accurate mimicry of traditional meat requires fat tissue; a key contributor to both the flavour and texture of meat. Here, we show that fibro-adipogenic progenitor cells (<span class=""caps"">FAP</span>s) are present in bovine muscle, and are transcriptionally and immunophenotypically distinct from satellite cells. These two cell types can be purified from a single muscle sample using a simple fluorescence-activated cell sorting (<span class=""caps"">FACS</span>) strategy. <span class=""caps"">FAP</span>s demonstrate high levels of adipogenic potential, as measured by gene expression changes and lipid accumulation, and can be proliferated for a large number of population doublings, demonstrating their suitability for a scalable cultured meat production process. Crucially, <span class=""caps"">FAP</span>s reach a mature level of adipogenic differentiation in three-dimensional, edible hydrogels. The resultant tissue accurately mimics traditional beef fat in terms of lipid profile and taste, and <span class=""caps"">FAP</span>s thus represent a promising candidate cell type for the production of cultured&nbsp;fat.</p>",10341,,https://www.nature.com/articles/s41538-021-00122-2,"Academic Research"
"A Comparative Study on the Taste Characteristics of Satellite Cell Cultured Meat Derived from Chicken and Cattle Muscles",2022-01-23T15:39:00-0500,,/research/comparative-study-taste-characteristics-satellite-cell-cultured-meat-derived-chicken-and,,,Cell-Based,Meat,Sci-Tech,Asia,,,"This study investigated the amino acid and nucleotide-related compound composition and taste characteristics of cultured muscle tissue (CMT) obtained by culturing satellite cells isolated from chicken and cattle and compared them to those of traditional meat (TM). The content of all amino acids except valine and tyrosine was significantly different between CMT and TM (p&lt;0.05).","<p>This study investigated the amino acid and nucleotide-related compound composition and taste characteristics of cultured muscle tissue (<span class=""caps"">CMT</span>) obtained by culturing satellite cells isolated from chicken and cattle and compared them to those of traditional meat (<span class=""caps"">TM</span>). The content of all amino acids except valine and tyrosine was significantly different between <span class=""caps"">CMT</span> and <span class=""caps"">TM</span> (p&lt;0.05). The amount of glutamic acid was not significantly different between <span class=""caps"">CMT</span> and <span class=""caps"">TM</span> in cattle, but the glutamic acid in chicken <span class=""caps"">CMT</span> was lower than that of <span class=""caps"">TM</span> (p&lt;0.05). Among the nucleotide-related compounds, only the content of inosine-5’-monophosphate (<span class=""caps"">IMP</span>) was significant, and the amount of <span class=""caps"">IMP</span> in <span class=""caps"">CMT</span> derived from chicken and cattle was significantly lower than that of <span class=""caps"">TM</span> (p&lt;0.05). There were significant differences in the taste characteristics assessed by an electronic tongue system, and the umami, bitterness, and sourness values of <span class=""caps"">CMT</span> were significantly lower than those of <span class=""caps"">TM</span> from both chicken and cattle (p&lt;0.05). The results of the present study suggest that it is necessary to develop a satellite cell culture method that could increase the umami and bitterness intensity of <span class=""caps"">CMT</span> and adjust the composition of the growth medium to produce cultured meat with a taste similar to that of <span class=""caps"">TM</span>.</p>",10325,,https://www.kosfaj.org/archive/view_article?pid=kosfa-42-1-175,"Academic Research"
"Would you eat a burger made in a petri dish? Why people feel disgusted by cultured meat☆",2022-01-19T04:27:04-0500,,/research/would-you-eat-burger-made-petri-dish-why-people-feel-disgusted-cultured-meat,,,Cell-Based,Meat,Culture,"US &amp; Canada",,,"Cultured meat—real animal flesh produced from in vitro cell cultures, without the need to raise animals—is now poised to become publicly available. Compared to conventional meat, cultured meat offers environmental benefits in its production using less water and yielding fewer greenhouse gas emissions. However, many people find cultured meat too disgusting to&nbsp;eat.","<p>Cultured meat—real animal flesh produced from in vitro cell cultures, without the need to raise animals—is now poised to become publicly available. Compared to conventional meat, cultured meat offers environmental benefits in its production using less water and yielding fewer greenhouse gas emissions. However, many people find cultured meat too disgusting to&nbsp;eat.</p>",10306,,https://www.sciencedirect.com/science/article/abs/pii/S0272494422000032,"Academic Research"
"State of the Seaweed Industry 2022",2022-01-17T07:40:48-0500,,/research/state-seaweed-industry-2022,https://www.proteinreport.org/sites/default/files/2022-01/cover.jpg,,Algae,"Ingredients, Feed",Business,"Europe, Latin America &amp; Caribbean, Oceania, US &amp; Canada",,,"Phyconomy's first annual State of the Seaweed Industry report shines a light on the trends and events of the past year in Europe, the Americas, and Oceania.","<p>Phyconomy's first annual State of the Seaweed Industry report shines a light on the trends and events of the past year in Europe, the Americas, and Oceania.</p>",10295,"report cover",https://phyconomy.net/state-of-the-industry-2022/,"Industry Report"
"A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation",2022-01-13T14:09:39-0500,,/research/serum-free-media-formulation-cultured-meat-production-supports-bovine-satellite-cell,,,Cell-Based,Meat,Sci-Tech,Europe,,,"Cultured meat production requires the robust differentiation of satellite cells into mature muscle fibres without the use of animal-derived components. Current protocols induce myogenic differentiation in vitro through serum starvation, that is, an abrupt reduction in serum&nbsp;concentration.","<p>Cultured meat production requires the robust differentiation of satellite cells into mature muscle fibres without the use of animal-derived components. Current protocols induce myogenic differentiation in vitro through serum starvation, that is, an abrupt reduction in serum&nbsp;concentration.</p>",10272,,https://www.nature.com/articles/s43016-021-00419-1,"Academic Research"
"Ovalbumin production using Trichoderma reesei culture and low-carbon energy could mitigate the environmental impacts of chicken-egg-derived ovalbumin",2022-01-11T10:13:42-0500,,/research/ovalbumin-production-using-trichoderma-reesei-culture-and-low-carbon-energy-could-mitigate,,,"Microbial, Fungi","Eggs, Ingredients",Sci-Tech,Europe,,,"Ovalbumin (OVA) produced using the fungus Trichoderma reesei (Tr-OVA) could become a sustainable replacement for chicken egg white protein powder—a widely used ingredient in the food&nbsp;industry.","<p>Ovalbumin (<span class=""caps"">OVA</span>) produced using the fungus Trichoderma reesei (Tr-<span class=""caps"">OVA</span>) could become a sustainable replacement for chicken egg white protein powder—a widely used ingredient in the food&nbsp;industry.</p>",10253,,https://www.nature.com/articles/s43016-021-00418-2,"Academic Research"
"Risks and benefits of consuming edible seaweeds",2022-01-08T10:42:39-0500,,/research/risks-and-benefits-consuming-edible-seaweeds,,,Algae,Ingredients,Health,International,,,"Recent interest in seaweeds as a source of macronutrients, micronutrients, and bioactive components has highlighted prospective applications within the functional food and nutraceutical industries, with impetus toward the alleviation of risk factors associated with noncommunicable diseases such as obesity, type 2 diabetes, and cardiovascular disease.","<p>Recent interest in seaweeds as a source of macronutrients, micronutrients, and bioactive components has highlighted prospective applications within the functional food and nutraceutical industries, with impetus toward the alleviation of risk factors associated with noncommunicable diseases such as obesity, type 2 diabetes, and cardiovascular disease. This narrative review summarizes the nutritional composition of edible seaweeds; evaluates the evidence regarding the health benefits of whole seaweeds, extracted bioactive components, and seaweed-based food products in humans; and assesses the potential adverse effects of edible seaweeds, including those related to ingestion of excess iodine and arsenic. If the potential functional food and nutraceutical applications of seaweeds are to be realized, more evidence from human intervention studies is needed to evaluate the nutritional benefits of seaweeds and the efficacy of their purported bioactive components. Mechanistic evidence, in particular, is imperative to substantiate health&nbsp;claims.</p>",10234,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6551690/,"Academic Research"
"Perspectives on scaling production of adipose tissue for food applications",2021-12-02T14:59:06-0500,,/research/perspectives-scaling-production-adipose-tissue-food-applications,,,Cell-Based,"Meat, Ingredients",Sci-Tech,International,,,"With rising global demand for food proteins and significant environmental impact associated with conventional animal agriculture, it is important to develop sustainable alternatives to supplement existing meat&nbsp;production.","<p>With rising global demand for food proteins and significant environmental impact associated with conventional animal agriculture, it is important to develop sustainable alternatives to supplement existing meat&nbsp;production.</p>",10120,,https://www.sciencedirect.com/science/article/abs/pii/S014296122100630X,"Academic Research"
"Cellular Agriculture: Canada&#039;s $12.5 Billion Opportunity in Food Innovation",2021-11-24T05:27:51-0500,,/research/cellular-agriculture-canadas-125-billion-opportunity-food-innovation,https://www.proteinreport.org/sites/default/files/2021-11/report%20cover.jpg,,Cell-Based,Meat,"Business, Policy","US &amp; Canada",,,"Led by Ontario Genomics and developed and written in partnership with the Food and Agriculture Institute at the University of the Fraser Valley, this report features extensive stakeholder input and an economic analysis, providing critical considerations for Canada's emerging cellular agriculture industry.","<p>Led by <a href=""https://www.ontariogenomics.ca/"">Ontario Genomics</a> and developed and written in partnership with the <a href=""https://www.ufv.ca/food-agriculture-institute/"">Food and Agriculture Institute at the University of the Fraser Valley</a>, this report features extensive stakeholder input and an economic analysis, providing critical considerations for Canada's emerging cellular agriculture industry.</p>",10080,"report cover",https://www.candesyne.ca/cellular-agriculture,"Industry Report"
"High yield cultivation of marine macroalga Ulva lactuca in a multi-tubular airlift photobioreactor: A scalable model for quality feedstock",2021-11-18T11:02:23-0500,,/research/high-yield-cultivation-marine-macroalga-ulva-lactuca-multi-tubular-airlift-photobioreactor,,,Algae,Ingredients,Sci-Tech,International,,,"Conventional off-shore and on-shore cultivation methods for marine macroalgae are both inadequate to pitch macroalgae as scalable renewable feedstock that can be grown across all coastal&nbsp;locations.","<p>Conventional off-shore and on-shore cultivation methods for marine macroalgae are both inadequate to pitch macroalgae as scalable renewable feedstock that can be grown across all coastal&nbsp;locations.</p>",10049,,https://www.sciencedirect.com/science/article/abs/pii/S0959652621039226,"Academic Research"
"Scaffolding Biomaterials for 3D Cultivated Meat: Prospects and Challenges",2021-11-18T05:27:27-0500,,/research/scaffolding-biomaterials-3d-cultivated-meat-prospects-and-challenges,,,Cell-Based,Meat,Sci-Tech,International,,,"Cultivating meat from stem cells rather than by raising animals is a promising solution to concerns about the negative externalities of meat production. For cultivated meat to fully mimic conventional meat's organoleptic and nutritional properties, innovations in scaffolding technology are required. Many scaffolding technologies are already developed for use in biomedical tissue engineering.","<p>Cultivating meat from stem cells rather than by raising animals is a promising solution to concerns about the negative externalities of meat production. For cultivated meat to fully mimic conventional meat's organoleptic and nutritional properties, innovations in scaffolding technology are required. Many scaffolding technologies are already developed for use in biomedical tissue engineering. However, cultivated meat production comes with a unique set of constraints related to the scale and cost of production as well as the necessary attributes of the final product, such as texture and food safety. This review discusses the properties of vertebrate skeletal muscle that will need to be replicated in a successful product and the current state of scaffolding innovation within the cultivated meat industry, highlighting promising scaffold materials and techniques that can be applied to cultivated meat development. Recommendations are provided for future research into scaffolds capable of supporting the growth of high-quality meat while minimizing production costs. Although the development of appropriate scaffolds for cultivated meat is challenging, it is also tractable and provides novel opportunities to customize meat properties.</p>",10044,,https://onlinelibrary.wiley.com/doi/10.1002/advs.202102908,"Academic Research"
"Impact of Plant-Based Meat Alternatives on Cattle Inventories and Greenhouse Gas Emissions",2021-11-18T04:57:47-0500,,/research/impact-plant-based-meat-alternatives-cattle-inventories-and-greenhouse-gas-emissions,,,Plant-Based,Meat,"Environment, Policy","US &amp; Canada",,,"New plant-based meat alternatives that aim to mimic the taste and texture of beef could have significant economic, environmental, and animal welfare impacts if they replace animal-based meats and reduce livestock&nbsp;production.","<p>New plant-based meat alternatives that aim to mimic the taste and texture of beef could have significant economic, environmental, and animal welfare impacts if they replace animal-based meats and reduce livestock&nbsp;production.</p>",10043,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3961790,"Academic Research"
"Alaska Seaweed Market Assessment",2021-10-08T08:28:02-0400,,/research/alaska-seaweed-market-assessment,https://www.proteinreport.org/sites/default/files/2021-10/alaska%20seaweed.jpg,,Algae,Ingredients,Business,"Europe, International, US &amp; Canada",,,"Alaska Fisheries Development Foundation, with grant support from the Pacific States Marine Fisheries Commission, contracted with McKinley Research Group to assess current and potential markets for Alaska seaweed. Findings presented are based on a review of available secondary research and seaweed trade, production, and market data, as well as telephone interviews with 40 seaweed market participants and experts in North America and Europe.","<p>Alaska Fisheries Development Foundation, with grant support from the Pacific States Marine Fisheries Commission, contracted with McKinley Research Group to assess current and potential markets for Alaska seaweed. Findings presented are based on a review of available secondary research and seaweed trade, production, and market data, as well as telephone interviews with 40 seaweed market participants and experts in North America and Europe.</p>",9818,"report cover",https://www.afdf.org/wp-content/uploads/Alaska-Seaweed-Market-Assessment-2021-08-FINAL.pdf,"Industry Report"
"The Socio-economic Impact of Cultivated Meat in the UK",2021-10-08T08:12:19-0400,,/research/socio-economic-impact-cultivated-meat-uk,https://www.proteinreport.org/sites/default/files/2021-10/cover.jpg,,Cell-Based,Meat,Business,Europe,,,"Oxford Economics researchers looked at the economic contribution to the UK based on solely domestic consumer spending on cultivated meat in the year 2030 and found:","<p>Oxford Economics researchers looked at the economic contribution to the UK based on solely domestic consumer spending on cultivated meat in the year 2030 and found:</p>
<ul>
<li>The industry itself will be worth up to £1.7bn by 2030 in the UK – and will support a total GVA contribution to UK GDP of up to £2.1bn once the UK supply chain is factored in</li>
<li>The cultivated meat industry will have a ‘GDP multiplier’ of x3.7 in 2030 – for every £1m of GVA created by the industry, a further £2.7m is expected to be supported elsewhere in the UK economy that year</li>
<li>The British cultivated meat industry could support up to 16,500 jobs across the UK in 2030 – up to 8,300 workers (50%) employed directly by the cultivated meat industry and the rest in the supply chain</li>
<li>The cultivated meat sector would account for roughly 12% of consumer demand for meat in 2030</li>
<li>The industry will have an ‘employment multiplier’ of x2 in 2030 – for every 100 jobs in the industry, a further 100 will likely be supported elsewhere in the UK economy</li>
<li>The UK risks losing out to countries such as US, Singapore and Israel, who are proactively supporting this new industry</li>
</ul>",9817,"report cover",https://www.oxfordeconomics.com/recent-releases/The-socio-economic-impact-of-cultivated-meat-in-the-UK,"Industry Report"
"Innovative Foods: a guide to responsible investment in cell-cultured meat and seafood",2021-10-08T07:08:59-0400,,/research/innovative-foods-guide-responsible-investment-cell-cultured-meat-and-seafood,https://www.proteinreport.org/sites/default/files/2021-10/Food_featured_0.jpg,,Cell-Based,"Meat, Seafood",Business,International,,,"The emerging cell-cultured meat and seafood market has seen sustained growth in the last few years as companies seek out new opportunities for reducing their environmental impact, while providing nutritious food for growing&nbsp;populations.","<p>The emerging cell-cultured meat and seafood market has seen sustained growth in the last few years as companies seek out new opportunities for reducing their environmental impact, while providing nutritious food for growing&nbsp;populations.</p>",9816,"report cover",https://business.edf.org/insights/innovative-foods-a-guide-to-responsible-investment-in-cell-cultured-meat-and-seafood/,"Industry Report"
"Isolation and Characterization of Tissue Resident CD29-Positive Progenitor Cells in Livestock to Generate a Three-Dimensional Meat Bud",2021-10-01T04:59:01-0400,,/research/isolation-and-characterization-tissue-resident-cd29-positive-progenitor-cells-livestock,,,Cell-Based,Meat,Sci-Tech,Asia,,,"The current process of meat production using livestock has significant effects on the global environment, including high emissions of greenhouse gases. In recent years, cultured meat has attracted attention as a way to acquire animal proteins. However, the lack of markers that isolate proliferating cells from bovine tissues and the complex structure of the meat make it difficult to culture meat in a dish. In this study, we screened 246 cell-surface antibodies by fluorescence-activated cell sorting for their capacity to form colonies and their suitability to construct spheroid “meat buds”.","<p>The current process of meat production using livestock has significant effects on the global environment, including high emissions of greenhouse gases. In recent years, cultured meat has attracted attention as a way to acquire animal proteins. However, the lack of markers that isolate proliferating cells from bovine tissues and the complex structure of the meat make it difficult to culture meat in a dish. In this study, we screened 246 cell-surface antibodies by fluorescence-activated cell sorting for their capacity to form colonies and their suitability to construct spheroid “meat buds”. <span class=""caps"">CD29</span>+ cells (Ha2/5 clone) have a high potency to form colonies and efficiently proliferate on fibronectin-coated dishes. Furthermore, the meat buds created from <span class=""caps"">CD29</span>+ cells could differentiate into muscle and adipose cells in a three-dimensional structure. The meat buds embedded in the collagen gel proliferated in the matrix and formed large aggregates. Approximately 10 trillion cells can theoretically be obtained from 100 g of bovine tissue by culturing and amplifying them using these methods. The <span class=""caps"">CD29</span>+ cell characteristics of bovine tissue provide insights into the production of meat alternatives in&nbsp;vitro.</p>",9767,,https://www.mdpi.com/2073-4409/10/9/2499,"Academic Research"
"Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter?",2021-09-27T04:57:02-0400,,/research/consumer-preferences-farm-raised-meat-lab-grown-meat-and-plant-based-meat-alternatives,,,"Cell-Based, Plant-Based, Animal",Meat,Business,"US &amp; Canada",,,"Despite rising interest in and sales of innovative non-animal-based protein sources, there remains a lack of information about consumer demand for these new foods and their ultimate market potential. This study reports the results of a nationwide survey of more than 1800 U.S. consumers who completed a choice experiment in which they selected among conventional beef and three alternative burger patties, (lab-grown, plant-based with pea protein, and plant-based with animal-like protein) at different&nbsp;prices.","<p>Despite rising interest in and sales of innovative non-animal-based protein sources, there remains a lack of information about consumer demand for these new foods and their ultimate market potential. This study reports the results of a nationwide survey of more than 1800 <span class=""caps"">U.S.</span> consumers who completed a choice experiment in which they selected among conventional beef and three alternative burger patties, (lab-grown, plant-based with pea protein, and plant-based with animal-like protein) at different&nbsp;prices.</p>",9744,,https://www.sciencedirect.com/science/article/pii/S0306919220301354,"Academic Research"
"A multi-billion-dollar opportunity – Repurposing agricultural support to transform food systems",2021-09-27T04:08:53-0400,,/research/multi-billion-dollar-opportunity-repurposing-agricultural-support-transform-food-systems,https://www.proteinreport.org/sites/default/files/2021-09/cpver.jpg,,Animal,"Meat, Dairy, Feed","Environment, Policy",International,,,"Public support mechanisms for agriculture in many cases hinder the transformation towards healthier, more sustainable, equitable, and efficient food systems, thus actively steering us away from meeting the Sustainable Development Goals and targets of the Paris Agreement.","<p>Public support mechanisms for agriculture in many cases hinder the transformation towards healthier, more sustainable, equitable, and efficient food systems, thus actively steering us away from meeting the Sustainable Development Goals and targets of the Paris Agreement.</p>
<p>This report sets out the compelling case for repurposing harmful agricultural producer support to reverse this situation, by optimizing the use of scarce public resources, strengthening economic recovery from the COVID-19 pandemic, and ultimately driving a food systems transformation that can support global sustainable development commitments.</p>",9743,"report cover",http://www.fao.org/documents/card/en/c/cb6562en,"Industry Report"
"Engineered whole cut meat-like tissue by the assembly of cell fibers using tendon-gel integrated bioprinting",2021-08-31T10:13:40-0400,,/research/engineered-whole-cut-meat-tissue-assembly-cell-fibers-using-tendon-gel-integrated,,,Cell-Based,Meat,Sci-Tech,Asia,,,"With the current interest in cultured meat, mammalian cell-based meat has mostly been unstructured. There is thus still a high demand for artificial steak-like meat. We demonstrate in vitro construction of engineered steak-like tissue assembled of three types of bovine cell fibers (muscle, fat, and vessel). Because actual meat is an aligned assembly of the fibers connected to the tendon for the actions of contraction and relaxation, tendon-gel integrated bioprinting was developed to construct tendon-like gels.","<p>With the current interest in cultured meat, mammalian cell-based meat has mostly been unstructured. There is thus still a high demand for artificial steak-like meat. We demonstrate in vitro construction of engineered steak-like tissue assembled of three types of bovine cell fibers (muscle, fat, and vessel). Because actual meat is an aligned assembly of the fibers connected to the tendon for the actions of contraction and relaxation, tendon-gel integrated bioprinting was developed to construct tendon-like gels. In this study, a total of 72 fibers comprising 42 muscles, 28 adipose tissues, and 2 blood capillaries were constructed by tendon-gel integrated bioprinting and manually assembled to fabricate steak-like meat with a diameter of 5 mm and a length of 10 mm inspired by a meat cut. The developed tendon-gel integrated bioprinting here could be a promising technology for the fabrication of the desired types of steak-like cultured&nbsp;meats.</p>",9590,,https://www.nature.com/articles/s41467-021-25236-9,"Academic Research"
"Food systems are responsible for a third of global anthropogenic GHG emissions",2021-08-11T14:48:57-0400,,/research/food-systems-are-responsible-third-global-anthropogenic-ghg-emissions,,,Animal,"Meat, Dairy, Feed",Environment,International,,,"We have developed a new global food emissions database (EDGAR-FOOD) estimating greenhouse gas (GHG; CO2, CH4, N2O, fluorinated gases) emissions for the years 1990–2015, building on the Emissions Database of Global Atmospheric Research (EDGAR), complemented with land use/land-use change emissions from the FAOSTAT emissions database.","<p>We have developed a new global food emissions database (<span class=""caps"">EDGAR</span>-<span class=""caps"">FOOD</span>) estimating greenhouse gas (<span class=""caps"">GHG</span>; <span class=""caps"">CO2</span>, <span class=""caps"">CH4</span>, <span class=""caps"">N2O</span>, fluorinated gases) emissions for the years 1990–2015, building on the Emissions Database of Global Atmospheric Research (<span class=""caps"">EDGAR</span>), complemented with land use/land-use change emissions from the <span class=""caps"">FAOSTAT</span> emissions database. <span class=""caps"">EDGAR</span>-<span class=""caps"">FOOD</span> provides a complete and consistent database in time and space of <span class=""caps"">GHG</span> emissions from the global food system, from production to consumption, including processing, transport and packaging. It responds to the lack of detailed data for many countries by providing sectoral contributions to food-system emissions that are essential for the design of effective mitigation actions. In 2015, food-system emissions amounted to 18 Gt <span class=""caps"">CO2</span> equivalent per year globally, representing 34% of total <span class=""caps"">GHG</span> emissions. The largest contribution came from agriculture and land use/land-use change activities (71%), with the remaining were from supply chain activities: retail, transport, consumption, fuel production, waste management, industrial processes and packaging. Temporal trends and regional contributions of <span class=""caps"">GHG</span> emissions from the food system are also&nbsp;discussed.</p>",9482,,https://www.nature.com/articles/s43016-021-00225-9,"Academic Research"
