title,website,date,contributors,slug,images,proteins,products,business,finance_type,regions,location,description,body,ID,image_caption,crunchbase,facebook,instagram,linkedin,twitter,youtube,country,city,country_code,founded,founders
Imagindairy,https://imagindairy.com/,2021-06-11T07:11:10-0400,,/directory/imagindairy,https://www.proteinreport.org/sites/default/files/2021-06/1601666596330.jpg,Microbial,Dairy,Production,,Asia,"<p class=""address"" translate=""no""><span class=""address-line1"">Netiv HaTrashim</span><br>
<span class=""locality"">Nesher</span><br>
<span class=""country"">Israel</span></p>","Imagindairy, a Foodtech company, is addressing the industry bottleneck by integrating deep tech with system biology to develop a commercial and viable animal free protein-based dairy product.","<p>Imagindairy, a Foodtech company, is addressing the industry bottleneck by integrating deep tech with system biology to develop a commercial and viable animal free protein-based dairy product.</p>",9128,,https://www.crunchbase.com/organization/imagindairy,,,https://www.linkedin.com/company/imagindairy-ltd/,,,Israel,Nesher,IL,2020,"Eyal Afergan"
Sea-Stematic,http://sea-stematic.com/,2021-06-01T07:23:03-0400,,/directory/sea-stematic,https://www.proteinreport.org/sites/default/files/2021-06/1620040113576.jpg,Cell-Based,Seafood,Production,,Africa,"<p class=""address"" translate=""no""><span class=""address-line1"">Von Wielligh Street</span><br>
<span class=""locality"">Johannesburg</span><br>
<span class=""postal-code"">2001</span><br>
<span class=""country"">South Africa</span></p>","Sea-Stematic is a frontier food company focused on manufacturing cell-based seafood. They are committed to satisfying the global consumer demand for fish, while addressing broader climatic and health issues. Their integrity to deliver great tasting, quality and nutritionally superior seafood products is further defined by partnering with leading scientists and stakeholders to achieve this sustainably.","<p>Sea-Stematic is a frontier food company focused on manufacturing cell-based seafood. They are committed to satisfying the global consumer demand for fish, while addressing broader climatic and health issues. Their integrity to deliver great tasting, quality and nutritionally superior seafood products is further defined by partnering with leading scientists and stakeholders to achieve this sustainably.</p>",9052,,,https://www.facebook.com/SeaStematic,,https://www.linkedin.com/company/sea-stematic-pty-ltd/about/,,,"South Africa",Johannesburg,ZA,2021,"Marica Quarsingh"
"Ivy Farm Technologies",http://www.ivy.farm,2021-05-31T07:45:38-0400,,/directory/ivy-farm-technologies,https://www.proteinreport.org/sites/default/files/2021-05/1621008975071.jpg,Cell-Based,Meat,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Cornmarket Street</span><br>
<span class=""locality"">Oxford</span><br>
<span class=""postal-code"">OX1</span><br>
<span class=""country"">United Kingdom</span></p>","Ivy Farm is an inquisitive bunch of bioengineers, scientists and animal lovers who are pro bacon sandwiches and against the effects of industrialized farming. They use novel cell technology created by the University of Oxford to grow real meat that’s free from slaughter and antibiotics, low in saturated fat, and tastes fantastic.","<p>Ivy Farm is an inquisitive bunch of bioengineers, scientists and animal lovers who are pro bacon sandwiches and against the effects of industrialized farming. They use novel cell technology created by the University of Oxford to grow real meat that’s free from slaughter and antibiotics, low in saturated fat, and tastes fantastic.</p>",9042,,,,,https://www.linkedin.com/company/ivyfarm/about/,https://twitter.com/ivyfarm_tech,,"United Kingdom",Oxford,GB,2019,"Cathy Ye, Russ Tucker"
"Ants Innovate",https://www.antsinnovate.com/,2021-05-20T06:02:45-0400,,/directory/ants-innovate,https://www.proteinreport.org/sites/default/files/2021-05/download_1.jpg,Cell-Based,Meat,Production,,Asia,"<p class=""address"" translate=""no""><span class=""country"">Singapore</span></p>","Ants Innovate is a deep tech start-up focusing on developing cultivated whole meat cuts. Their mission is to create real meat without the environmental impacts and animal harm. Using proprietary biotechnologies, they recreate the natural processes of muscle growth, developing delicious, textured meat with precision. Their meat cuts will be healthier and better for the world, and everyone in it.","<p>Ants Innovate is a deep tech start-up focusing on developing cultivated whole meat cuts. Their mission is to create real meat without the environmental impacts and animal harm. Using proprietary biotechnologies, they recreate the natural processes of muscle growth, developing delicious, textured meat with precision. Their meat cuts will be healthier and better for the world, and everyone in it.</p>",8984,,,,,https://www.linkedin.com/company/ants-innovate/,,,Singapore,Singapore,SG,2020,"Hanry Yu"
"Cellivate Technologies",https://www.cellivate.xyz/,2021-05-20T05:52:33-0400,,/directory/cellivate-technologies,https://www.proteinreport.org/sites/default/files/2021-05/static1.squarespace.jpg,Cell-Based,"Scaffolding &amp; Structure, Technology &amp; Equipment",Production,,Asia,"<p class=""address"" translate=""no""><span class=""country"">Singapore</span></p>","The engineering of cells has the potential to enormously revolutionise medicine, drug discovery and even the future of food. However, they are inhibited due to the complications with culturing cells. Cellivate Technologies has developed a patented nanotechnology to address this problem. They have discovered that different oxide chemistries enable cells to adhere better and accelerate their growth, while maintaining vital cellular markers.","<p>The engineering of cells has the potential to enormously revolutionise medicine, drug discovery and even the future of food. However, they are inhibited due to the complications with culturing cells. Cellivate Technologies has developed a patented nanotechnology to address this problem. They have discovered that different oxide chemistries enable cells to adhere better and accelerate their growth, while maintaining vital cellular markers. Their product portfolio includes coverslips, dishes, microcarriers and other innovations to accelerate the application of cells for the greater benefit of society.</p>",8983,,,,,https://www.linkedin.com/company/cellivate-technologies/,,,Singapore,Singapore,SG,2019,"Viknish Krishnan-Kutty"
Gelatex,https://www.gelatex.com/,2021-05-19T07:29:53-0400,,/directory/gelatex,https://www.proteinreport.org/sites/default/files/2021-05/2578462_original.jpg,Cell-Based,"Scaffolding &amp; Structure",Production,,Europe,"<p class=""address"" translate=""no""><span class=""postal-code"">10111</span> <span class=""locality"">Kesklinna</span><br>
<span class=""country"">Estonia</span></p>","Gelatex is a materials technology startup that is specialized in innovating bio-based nanofibrous materials and nanofiber production technologies. Compared to electrospinning, their technology enables over 90% cheaper nanofiber production for applications such as tissue engineering, cultured meat, drug discovery, wound care, energy storage, filtration, and more.","<p>Gelatex is a materials technology startup that is specialized in innovating bio-based nanofibrous materials and nanofiber production technologies. Compared to electrospinning, their technology enables over 90% cheaper nanofiber production for applications such as tissue engineering, cultured meat, drug discovery, wound care, energy storage, filtration, and more.</p>",8981,,https://www.crunchbase.com/organization/gelatex,https://www.facebook.com/gelatex,,https://www.linkedin.com/company/gelatex/,https://twitter.com/gela_tex,,Estonia,Kesklinna,EE,2016,"Mari-Ann Meigo Fonseca, Märt-Erik Martens"
"Biocatalysts Ltd",https://www.biocatalysts.com,2021-05-13T05:17:51-0400,,/directory/biocatalysts-ltd,https://www.proteinreport.org/sites/default/files/2021-05/Biocatalysts-Ltd_500x400_proteinreport-1.jpg,Microbial,Ingredients,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Cefn Coed</span><br>
<span class=""locality"">Cardiff</span><br>
<span class=""postal-code"">CF15 7QQ</span><br>
<span class=""country"">United Kingdom</span></p>","Biocatalysts Ltd are dedicated to partnering with cutting-edge start-up technology companies and multinational FMCG brands, providing a range of microbial enzymes across the food sectors. We develop specific enzymes that help our customers increase the value and functionality of their products by offering a rapid, low-cost speciality enzyme service, from discovery phase through to global shipment of regulatory compliant enzymes.","<p>Biocatalysts Ltd are dedicated to partnering with cutting-edge start-up technology companies and multinational FMCG brands, providing a range of microbial enzymes across the food sectors. We develop specific enzymes that help our customers increase the value and functionality of their products by offering a rapid, low-cost speciality enzyme service, from discovery phase through to global shipment of regulatory compliant enzymes. We also have a fully integrated fermentation service that can scale up a range of products including fermented proteins for use in novel foods, and food enzymes for lipid and protein modification.</p>",8967,,,,,https://www.linkedin.com/company/biocatalysts-ltd,https://twitter.com/Biocats,https://www.youtube.com//BiocatalystsLtd/,"United Kingdom",Cardiff,GB,1983,"Anthony Godfrey, Tony Good, Stuart West"
eniferBio,https://www.eniferbio.fi/,2021-05-06T07:26:15-0400,,/directory/eniferbio,https://www.proteinreport.org/sites/default/files/2021-05/OzF4nOLS_400x400.jpg,"Microbial, Fungi","Pet Food, Ingredients, Feed",Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Rakentajanaukio</span><br>
<span class=""postal-code"">02150</span> <span class=""locality"">Espoo</span><br>
<span class=""country"">Finland</span></p>","eniferBio is a pre-startup venture with a mission to bring the Pekilo process to the 21st century. Our product is Pekilo mycoprotein, a form of single-cell protein derived from fungi. It is sustainably produced for use as a fish feed ingredient.","<p>eniferBio is a pre-startup venture with a mission to bring the Pekilo process to the 21st century. Our product is Pekilo mycoprotein, a form of single-cell protein derived from fungi. It is sustainably produced for use as a fish feed ingredient.</p>",8922,,https://www.crunchbase.com/organization/eniferbio,https://www.facebook.com/EniferBio,https://www.instagram.com/eniferbio/,https://www.linkedin.com/company/enifer-bio,https://twitter.com/eniferbio,https://www.youtube.com/channel/UCgtuKImPxom_oP-MJY3gHxw,Finland,Espoo,FI,2019,"Simo Ellilä, Anssi Rantasalo"
"Chunk Foods",https://chunkfoods.com/,2021-04-29T06:12:52-0400,,/directory/chunk-foods,https://www.proteinreport.org/sites/default/files/2021-04/1615989588763.jpg,Plant-Based,Meat,Production,,"Middle East","<p class=""address"" translate=""no""><span class=""address-line1"">Arlozorov Street</span><br>
<span class=""locality"">Tel Aviv-Yafo</span><br>
<span class=""country"">Israel</span></p>","Chunk Foods is combining plant-based ingredients and food-grade microorganisms to deliver the textures, flavours, and nutritional benefits of whole muscle cut meat without its moral and environmental costs.","<p>Chunk Foods is combining plant-based ingredients and food-grade microorganisms to deliver the textures, flavours, and nutritional benefits of whole muscle cut meat without its moral and environmental costs.</p>",8891,,https://www.crunchbase.com/organization/chunk-foods,,,https://www.linkedin.com/company/chunk-foods/,,,Israel,"Tel Aviv-Yafo",IL,2020,"Amos Golan"
"CellAg Deutschland",http://www.cell-ag.de/,2021-04-26T05:42:13-0400,,/directory/cellag-deutschland,https://www.proteinreport.org/sites/default/files/2021-04/CellAg%20Logo%20%283%29_0.png,Cell-Based,,Nonprofit,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">B5</span><br>
<span class=""postal-code"">10178</span> <span class=""locality"">Berlin</span><br>
<span class=""country"">Germany</span></p>","We accelerate cellular agriculture in the German-speaking region.","<p>We accelerate cellular agriculture in the German-speaking region.</p>",8863,,,,https://www.instagram.com/cellagermany/,https://www.linkedin.com/company/cellag-deutschland,,,Germany,Berlin,DE,2021,"Fabian Baumann, Anita Bröllochs, Lisa Franke, Clara Hagedorn, Moritz Kompenhans, Gilda Lukacs, Tobias Messmer, Jonathan Michel, Jana Moritz, Jan Lukas Rinker, Ines Schiller, Julia Schimanietz, Pia Voltz"
"Magic Valley",https://magicvalley.com.au/,2021-04-23T08:26:33-0400,,/directory/magic-valley,https://www.proteinreport.org/sites/default/files/2021-04/download_1.jpg,Cell-Based,Meat,Production,,Oceania,"<p class=""address"" translate=""no""><span class=""address-line1"">Elizabeth Street</span><br>
<span class=""locality"">Melbourne</span> <span class=""postal-code"">3000</span><br>
<span class=""country"">Australia</span></p>","Magic Valley is an Australia based food company developing healthy and delicious cell-based meat products.","<p>Magic Valley is an Australia based food company developing healthy and delicious cell-based meat products.</p>",8859,,,,,https://www.linkedin.com/company/magic-valley/,https://twitter.com/MagicValley2020,,Australia,Melbourne,AU,2020,"Paul Bevan"
Wilk,https://wilkismilk.com/,2021-04-22T06:38:50-0400,,/directory/wilk,https://www.proteinreport.org/sites/default/files/2022-06/Logo%20white_0.jpg,Cell-Based,Dairy,Production,,"Middle East","<p class=""address"" translate=""no""><span class=""address-line1"">Bnei Moshe Street</span><br>
<span class=""locality"">Rehovot</span><br>
<span class=""country"">Israel</span></p>","Wilk is at the forefront of cell-grown milk production, developing solutions that answer the long-term needs of the milk markets. Previously BioMilk.","<p>Wilk is at the forefront of cell-grown milk production, developing solutions that answer the long-term needs of the milk markets. Previously BioMilk.</p>",8844,,https://www.crunchbase.com/organization/biomilk,,,https://www.linkedin.com/company/wilkismilk,https://twitter.com/WilkIsMilk,,Israel,Rehovot,IL,2018,"Arik Kaufman, Yaron Kaiser"
Smallfood,https://www.smallfood.com/,2021-04-21T11:50:54-0400,,/directory/smallfood,https://www.proteinreport.org/sites/default/files/2021-04/Smallfood_Inc__Smallfood_Is_Unearthing_The_Potential_Of_Microbes.jpg,"Microbial, Algae",Ingredients,Production,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">Barrington Street</span><br>
<span class=""locality"">Halifax</span> <span class=""postal-code"">B3J 1Z6</span><br>
<span class=""country"">Canada</span></p>","At Smallfood, our quest for a sustainable solution to the world’s massive protein – and food production – challenge resulted in the discovery of something ‘small’ with very ‘BIG’ potential. Through our unique strain of microalgae and proprietary biomass fermentation process, we are delivering to the world a more perfect protein.","<p>At Smallfood, our quest for a sustainable solution to the world’s massive protein – and food production – challenge resulted in the discovery of something ‘small’ with very ‘BIG’ potential. Through our unique strain of microalgae and proprietary biomass fermentation process, we are delivering to the world a more perfect protein.</p>",8841,,,,,https://www.linkedin.com/company/smallfood-inc,https://twitter.com/SmallfoodInc,,Canada,Halifax,CA,2018,"Marc St-Onge"
"Next Gen Foods",https://nextgenfoods.sg/,2021-04-20T06:46:46-0400,,/directory/next-gen-foods,https://www.proteinreport.org/sites/default/files/2021-04/logo-next-gen-teaser.png,Plant-Based,Meat,Production,,Asia,"<p class=""address"" translate=""no""><span class=""country"">Singapore</span></p>","Next Gen Foods creates plant-based chicken with the intention of making consumers forget why animals were ever needed.","<p>Next Gen Foods creates plant-based chicken with the intention of making consumers forget why animals were ever needed.</p>",8817,,https://www.crunchbase.com/organization/next-gen-foods,,,https://www.linkedin.com/company/nextgenfoods/about/,,,Singapore,Singapore,SG,2020,"Timo Recker, Andre Menezes"
"Revo Foods",https://revo-foods.com/,2021-04-20T06:40:48-0400,,/directory/revo-foods,https://www.proteinreport.org/sites/default/files/2021-04/1612354485736.jpg,Plant-Based,Seafood,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Stephansplatz</span><br>
<span class=""postal-code"">1010</span> <span class=""locality"">Wien</span><br>
<span class=""country"">Austria</span></p>","Revo Foods used 3D printing technology to make plant-based salmon out of pea protein, algae extracts, plant oils and citrus fibre.","<p>Revo Foods used 3D printing technology to make plant-based salmon out of pea protein, algae extracts, plant oils and citrus fibre.</p>",8816,,https://www.crunchbase.com/organization/revo-foods,https://www.facebook.com/RevoFoodsOfficial,,https://www.linkedin.com/company/legendary-vish/,https://twitter.com/RevoFoods,,Austria,Wien,AT,2020,"Robin Simsa, Theresa Rothenbücher, Manuel Lachmayr"
"Next Meats",https://nextmeats.co.jp/,2021-04-19T07:47:44-0400,,/directory/next-meats,https://www.proteinreport.org/sites/default/files/2021-04/zmnwhypkb2y6jtg2r1rx.jpg,Plant-Based,Meat,Production,,Asia,"<p class=""address"" translate=""no""><span class=""locality"">Chiyoda City</span>,<br>
<span class=""postal-code"">100-0005</span><br>
<span class=""country"">Japan</span></p>","Next Meats, based in Tokyo, is developing plant-based meat products as a preventative measure against the food crisis caused by the deterioration of the environment.","<p>Next Meats, based in Tokyo, is developing plant-based meat products as a preventative measure against the food crisis caused by the deterioration of the environment.</p>",8802,,https://www.crunchbase.com/organization/next-meats,,,https://www.linkedin.com/company/next-meats-co-ltd/,https://twitter.com/nextmeats,,Japan,"Chiyoda City",JP,2020,"Hideyuki Sasaki"
"Vesta Food Lab",http://www.vestafoodlab.com/,2021-04-19T07:39:17-0400,,/directory/vesta-food-lab,https://www.proteinreport.org/sites/default/files/2021-04/20201023847.png,Plant-Based,Meat,Production,,Asia,"<p class=""address"" translate=""no""><span class=""address-line1"">Zhengyi Road</span><br>
<span class=""postal-code"">100007</span><br>
<span class=""country"">China</span></p>","Vesta Food Lab, based in Beijing, creates plant-based meat products by recombining carefully selected local vegetable proteins which simulate the aroma and color of animal meat, and optimize nutritional composition.","<p>Vesta Food Lab, based in Beijing, creates plant-based meat products by recombining carefully selected local vegetable proteins which simulate the aroma and color of animal meat, and optimize nutritional composition.</p>",8801,,https://www.crunchbase.com/organization/vesta-food-lab,,,https://www.linkedin.com/company/vesta-food-lab/about/,,,China,,CN,2019,"Zihan Xie"
Haofood,https://www.haofood.co/,2021-04-08T12:37:51-0400,,/directory/haofood,https://www.proteinreport.org/sites/default/files/2021-04/Screen%20Shot%202021-04-08%20at%201.16.23%20PM.png,Plant-Based,Meat,Production,,Asia,"<p class=""address"" translate=""no""><span class=""country"">China</span></p>","Haofood is startup based in Shanghai, China focusing on the development of plant-based chicken. They make use of peanut protein in order to replicate the textural qualities commonly associated with meat.","<p>Haofood is startup based in Shanghai, China focusing on the development of plant-based chicken. They make use of peanut protein in order to replicate the textural qualities commonly associated with meat.</p>",8756,,https://www.crunchbase.com/organization/haofood,,,https://www.linkedin.com/company/haofood/,,,China,,CN,2020,"Astrid Prajogo"
"Hey Maet",https://www.heymaet.com/,2021-04-08T12:19:07-0400,,/directory/hey-maet,https://www.proteinreport.org/sites/default/files/2021-04/download.png,Plant-Based,Meat,Production,,Asia,"<p class=""address"" translate=""no""><span class=""country"">China</span></p>","Hey Maet is a startup based in Shanghai, China which uses pea, soy and rice protein to make plant-based beef and pork. They leverage high-moisture extrusion technology to overcome the difficulties of replicating juice, structure, colour, and taste in the field of plant-based meat, and are the first plantbased company with an independent R&amp;D laboratory in China.","<p>Hey Maet is a startup based in Shanghai, China which uses pea, soy and rice protein to make plant-based beef and pork. They leverage high-moisture extrusion technology to overcome the difficulties of replicating juice, structure, colour, and taste in the field of plant-based meat, and are the first plantbased company with an independent R&amp;D laboratory in China.</p>",8755,,https://www.crunchbase.com/organization/hey-maet,https://www.facebook.com/Hey-Maet-104691267816597/,,https://www.linkedin.com/company/heymaet/,,,China,,CN,2020,"Chichi Hong"
"Mozza Foods",https://www.mozzafoods.com/,2021-04-08T09:30:46-0400,,/directory/mozza-foods,https://www.proteinreport.org/sites/default/files/2021-04/Screen%20Shot%202021-04-08%20at%209.36.03%20AM.png,"Molecular Farming",Dairy,Production,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">South Pecan Street</span><br>
<span class=""locality"">Los Angeles</span>, <span class=""postal-code"">90033</span><br>
<span class=""country"">United States</span></p>","Mozza Foods is a Los Angeles based startup working on producing cheese made from the proteins found in cows milk using plants rather than the cow. The intention is to create products with all the same functionality associated with cheese while promoting a greener planet.","<p>Mozza Foods is a Los Angeles based startup working on producing cheese made from the proteins found in cows milk using plants rather than the cow. The intention is to create products with all the same functionality associated with cheese while promoting a greener planet.</p>",8754,,,,,https://www.linkedin.com/company/mozzanova/,,,"United States","Los Angeles",US,2018,"Adam Tarshis"
"The New",https://thenewfoods.com.br/,2021-03-16T09:24:01-0400,,/directory/new,https://www.proteinreport.org/sites/default/files/2022-06/Logo-1.png,Plant-Based,"Meat, Seafood",Production,,"Latin America &amp; Caribbean","<p class=""address"" translate=""no""><span class=""address-line1"">Parque Dom Pedro II</span><br>
<span class=""postal-code"">01022-050</span><br>
<span class=""country"">Brazil</span></p>","The New, one of Latin America’s fastest-growing plant-based meat brands. Launched in September 2019 by plant-based triathlete and successful entrepreneur Bruno Fonseca, The New produces plant-based salmon, cod, chicken, and beef products. All products are non-GMO and free of all common allergens including soy and gluten.","<p>The New, one of Latin America’s fastest-growing plant-based meat brands. Launched in September 2019 by plant-based triathlete and successful entrepreneur Bruno Fonseca, The New produces plant-based salmon, cod, chicken, and beef products. All products are non-GMO and free of all common allergens including soy and gluten.</p>",8602,,,,https://www.instagram.com/thenew.foods/,https://www.linkedin.com/company/thenewfoods/,https://twitter.com/thenew_foods,,Brazil,,BR,2019,"Bruno Fonseca, Mariana Nakaie, Nessim Abadi"
"Food Frontier",https://www.foodfrontier.org/,2021-03-15T04:29:09-0400,,/directory/food-frontier,https://www.proteinreport.org/sites/default/files/2021-03/fflogo.png,"Cell-Based, Plant-Based",,Nonprofit,,Oceania,"<p class=""address"" translate=""no""><span class=""address-line1"">Victoria Street</span><br>
<span class=""locality"">North Melbourne</span> <span class=""postal-code"">3051</span><br>
<span class=""country"">Australia</span></p>","Food Frontier is Australia &amp; New Zealand&#039;s independent think tank and expert advisor on alternative proteins (plant-based meat and cellular agriculture). Funded entirely by donations, our work is creating a safer, more sustainable and diversified protein supply.
Through research, consulting and events, Food Frontier advises and connects stakeholders across the supply chain, helping them navigate the emergence of plant-based and cultivated meats and embrace the opportunities they present for business, science and agriculture.","<p>Food Frontier is Australia &amp; New Zealand&#039;s independent think tank and expert advisor on alternative proteins (plant-based meat and cellular agriculture). Funded entirely by donations, our work is creating a safer, more sustainable and diversified protein supply.</p>
<p>Through research, consulting and events, Food Frontier advises and connects stakeholders across the supply chain, helping them navigate the emergence of plant-based and cultivated meats and embrace the opportunities they present for business, science and agriculture.</p>",8588,,https://www.crunchbase.com/organization/food-frontier,https://www.facebook.com/FoodFrontierOrg/,https://www.instagram.com/foodfrontierorg/,https://www.linkedin.com/company/foodfrontier,https://twitter.com/foodfrontierorg,,Australia,"North Melbourne",AU,2017,"Thomas King"
108Labs,https://108labs.net/,2021-03-08T12:20:18-0500,,/directory/108labs,https://www.proteinreport.org/sites/default/files/2021-03/1613660763067.jpg,Cell-Based,Dairy,Production,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">3rd Street</span><br>
<span class=""locality"">Davis</span>, <span class=""postal-code"">95616</span><br>
<span class=""country"">United States</span></p>","108Labs is pioneering mammary cell agriculture and secretory antibodies for development of Colostrupedics™ whole-human infant formula with secretory IgA.","<p>108Labs is pioneering mammary cell agriculture and secretory antibodies for development of Colostrupedics™ whole-human infant formula with secretory IgA.</p>",8550,,https://www.crunchbase.com/organization/108labs,https://www.facebook.com/108LabsLLC,,https://www.linkedin.com/company/108labs,https://twitter.com/108Labs,,"United States",Davis,US,2013,"Shayne Guiliano"
"Blackbird Foods",https://www.blackbirdfoods.com/,2021-02-18T13:16:19-0500,,/directory/blackbird-foods,https://www.proteinreport.org/sites/default/files/2021-02/Ck5aVj58_400x400.jpg,Plant-Based,Meat,Production,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""postal-code"">11101</span><br>
<span class=""country"">United States</span></p>","Blackbird Foods is a plant-based food company producing wholesale and retail seitan, frozen pizza, and plant-based meat.","<p>Blackbird Foods is a plant-based food company producing wholesale and retail seitan, frozen pizza, and plant-based meat.</p>",8464,,https://www.crunchbase.com/organization/blackbird-foods,https://www.facebook.com/blackbirdseitan,https://www.instagram.com/blackbird_foods/,https://www.linkedin.com/company/blackbird-foods,https://twitter.com/blackbirdseitan,,"United States",,US,,"Emanuel Storch"
"Cocuus System Iberica",https://cocuus.com/,2021-02-18T05:23:01-0500,,/directory/cocuus-system-iberica,https://www.proteinreport.org/sites/default/files/2021-02/Logo%20Coquus%20horizontal%20color.png,"Cell-Based, Plant-Based","Meat, Scaffolding &amp; Structure, Technology &amp; Equipment",Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Calle de la Fuente</span><br>
<span class=""postal-code"">31190</span> <span class=""locality"">Cizur Menor</span><br>
<span class=""country"">Spain</span></p>","We are a technology company whose mission is to revolutionize food through disruptive and differentiating solutions for the industry, attractive and healthy for the consumer and sustainable for the environment. We develop industrial solutions for the production of mimetic food analogues (mimetic food) of plant or cellular based animal protein through 2d/3d laser printing, bioprinting and robotics.","<p>We are a technology company whose mission is to revolutionize food through disruptive and differentiating solutions for the industry, attractive and healthy for the consumer and sustainable for the environment. We develop industrial solutions for the production of mimetic food analogues (mimetic food) of plant or cellular based animal protein through 2d/3d laser printing, bioprinting and robotics.</p>",8457,,,https://www.facebook.com/Cocuus.System.Iberica,https://www.instagram.com/cocuus/,https://www.linkedin.com/company/28586611/admin/,https://twitter.com/Cocuus_,https://www.youtube.com/channel/UCz3NS6-JVTd6ww4BAl12NSQ,Spain,"Cizur Menor",ES,2017,"Francisco Javier, Larumbe Beramendi, Daniel Rico Aldaz"
Herotein,https://heroprotein.cn/en/,2021-02-09T03:51:18-0500,,/directory/herotein,https://www.proteinreport.org/sites/default/files/2021-09/HEROTEIN_Logo_Square_White-bg%20%281%29.png,Plant-Based,Meat,Production,,Asia,"<p class=""address"" translate=""no""><span class=""country"">China</span></p>","Herotein is the first domestic company in China to sell plant-based meat products produced using high moisture extrusion. Founded in 2020 and based in Shanghai, Herotein aims to become the leading brand delivering a tasty and accessible range of plant-based meat products, offering consumers the culinary experience of conventional meat while ensuring food safety and sustainability.","<p>Herotein is the first domestic company in China to sell plant-based meat products produced using high moisture extrusion. Founded in 2020 and based in Shanghai, Herotein aims to become the leading brand delivering a tasty and accessible range of plant-based meat products, offering consumers the culinary experience of conventional meat while ensuring food safety and sustainability.</p>",8412,,https://www.crunchbase.com/organization/hero-protein,https://www.facebook.com/HERO-Protein-106785021245824,https://www.instagram.com/herotein/,https://www.linkedin.com/company/herotein,,,China,,CN,2020,"Julian Ting, Edward Weng"
"Hoxton Farms",https://hoxtonfarms.com/,2021-01-29T09:11:08-0500,,/directory/hoxton-farms,https://www.proteinreport.org/sites/default/files/2021-01/hoxton-farms-logo.png,Cell-Based,"Meat, Ingredients",Production,,Europe,"<p class=""address"" translate=""no""><span class=""locality"">London</span><br>
<span class=""postal-code"">WC2N 5DU</span><br>
<span class=""country"">United Kingdom</span></p>","Based in London, Hoxton Farms is cultivating a revolution. We combine cell biology and mathematical modelling to make a better kind of fat. Starting from just a few cells, we grow purified animal fat in bioreactors to produce a delicious, cruelty-free and sustainable ingredient.","<p>Based in London, Hoxton Farms is cultivating a revolution. We combine cell biology and mathematical modelling to make a better kind of fat. Starting from just a few cells, we grow purified animal fat in bioreactors to produce a delicious, cruelty-free and sustainable ingredient.</p>",8360,,,,,https://www.linkedin.com/company/hoxtonfarms/,https://twitter.com/hoxtonfarms,,"United Kingdom",London,GB,2020,"Max Jamilly, Ed Steele"
"VitroLabs Inc",https://www.vitrolabsinc.com/,2021-01-26T13:00:46-0500,,/directory/vitrolabs-inc,https://www.proteinreport.org/sites/default/files/2021-01/VITROLABS_FAVICON_V1.png,Cell-Based,Materials,Production,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">U.S. 101</span><br>
<span class=""locality"">San Francisco</span>, <span class=""postal-code"">94103</span><br>
<span class=""country"">United States</span></p>","Vitrolabs is bringing to market a true replacement for high-quality leather. They are rebuilding the leather supply chain by growing only the leather you need, where and when you need it with complete transparency, traceability, and a significantly reduced environmental footprint. Grown in a lab from the skin cells of cows, there is no harm to animals, ever. 
Harnessing science and nature to cultivate authentic materials starting with slaughter-free lab-grown leather.","<p>Vitrolabs is bringing to market a true replacement for high-quality leather. They are rebuilding the leather supply chain by growing only the leather you need, where and when you need it with complete transparency, traceability, and a significantly reduced environmental footprint. Grown in a lab from the skin cells of cows, there is no harm to animals, ever. </p>
<p>Harnessing science and nature to cultivate authentic materials starting with slaughter-free lab-grown leather.</p>",8345,,https://www.crunchbase.com/organization/vitrolabs,,,https://www.linkedin.com/company/vitrolabs/,,,"United States","San Francisco",US,2016,"Ingvar Helgason, Dr. Dusko Ilic"
"Core Biogenesis",https://www.corebiogenesis.com/,2021-01-25T11:43:21-0500,,/directory/core-biogenesis,https://www.proteinreport.org/sites/default/files/2021-01/CoreBioGen_Logo_Colour_RGB1.jpg,Microbial,"Technology &amp; Equipment",Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Unnamed Road</span><br>
<span class=""postal-code"">75004</span> <span class=""locality"">Paris</span><br>
<span class=""country"">France</span></p>","Core Biogenesis is building the world&#039;s most scalable bioproduction platform.","<p>Core Biogenesis is building the world&#039;s most scalable bioproduction platform.</p>",8335,,https://www.crunchbase.com/organization/core-biogenesis,,,https://www.linkedin.com/company/core-biogenesis,https://twitter.com/CoreBiogenesis,,France,Paris,FR,2020,"Alexandre Reeber, Chouaib MEZIADI"
