title,website,date,contributors,slug,images,banner_image,proteins,products,topics,regions,description,body,start_date,end_date,online,country,city,ID,image_caption
"Advancing Cell-Based Protein &amp; Fermentation Solutions",https://www.cmtevents.com/aboutevent.aspx?ev=220208,2022-01-17T05:16:21-0500,NL,/events/advancing-cell-based-protein-fermentation-solutions,https://www.proteinreport.org/sites/default/files/2022-01/220208_logo.png,https://www.proteinreport.org/sites/default/files/2022-01/banner_0.jpg,"Cell-Based, Microbial","Meat, Dairy, Eggs, Seafood, Ingredients","Business, Policy",Asia,"As technology advances for cell based protein production , can it disrupt the global meat/seafood market? CMT has lined up a top panel of speakers/experts and promising start ups that will share new developments, advancing cell-based protein for commercial global production.
Join us at this Hybrid conference in Singapore or Virtually.","<p>As technology advances for cell based protein production , can it disrupt the global meat/seafood market? CMT has lined up a top panel of speakers/experts and promising start ups that will share new developments, advancing cell-based protein for commercial global production.</p>
<p>Join us at this Hybrid conference in Singapore or Virtually.</p>",2022-02-22,2022-02-22,False,Singapore,,10294,
"Food Innovation &amp; Investment Summit",https://hubs.ly/Q011_8z60,2022-01-12T06:49:09-0500,NL,/events/food-innovation-investment-summit,https://www.proteinreport.org/sites/default/files/2022-01/world_of_food_and_nutrition_innovation_forum_logo_final2_0.png,https://www.proteinreport.org/sites/default/files/2022-01/Protein%20Report%20Banner.jpg,"Cell-Based, Plant-Based, Microbial","Meat, Ingredients",Business,"US &amp; Canada","With a focus on showcasing future food innovations, the Food Innovation &amp; Investment Summit aims to bring key players within the food industry together to discuss leading macro food trends that are shaping the future of the industry - from scaling innovative foods to understanding what makes an attractive investment opportunity for investors.","<p>With a focus on showcasing future food innovations, the <em>Food Innovation &amp; Investment Summit</em> aims to bring key players within the food industry together to discuss leading macro food trends that are shaping the future of the industry - from scaling innovative foods to understanding what makes an attractive investment opportunity for investors.</p>
<p>Join leading food experts from Nestlé, PepsiCo, Tate &amp; Lyle, Cargill, S2G Ventures and Corbion; discuss the 3 most exciting areas of development: Alternative Protein, Personalized Nutrition &amp; Gut Health, and Functional Ingredients &amp; Biotech; and discover the latest in future food innovations.</p>
<p><a href=""https://hubs.ly/Q014B0b60"">Download the agenda here.</a></p>
<p>The <strong>Innovation Showcase</strong> gives start-ups within Alternative Protein, Personalized Nutrition &amp; Gut Health, and Functional Ingredients &amp; Biotech the opportunity to pitch their innovations in front of potential investors and partners. 15 finalists selected by our prestigious Selection Committee (Big Idea Ventures, Corbion, 1st Course Capital, S2G Ventures, Cargill, Louis Dreyfus Company, Acre Venture Partners and ZX Ventures) will get the opportunity to showcase their innovations live at the summit.</p>
<p>Have an innovative product or ingredient that you want to showcase to potential investors and partners? <a href=""https://hubs.ly/Q014B0q10"">Apply for our Innovation Showcase here.</a><br />
Applications close <strong>31st March</strong> and are free to apply.</p>
<p><strong>Save up to $800 when you register before March 25th. </strong>Use code ‘REPORT10’ for 10% off ticket.</p>
<p><a href=""https://hubs.ly/Q014B0b60""><strong>Register Now.</strong></a></p>
<p>Contact us for more information at <a href=""mailto:events@kisacoresearch.com"">events@kisacoresearch.com</a> or +44 (0)20 3696 2920</p>",2022-05-18,2022-05-19,False,"United States","San Francisco",10263,
"The Future of Food Conference - Alt Protein Industry and Our Diet",https://www.eventbrite.com/e/the-future-of-food-alternative-protein-industry-and-our-diet-tickets-233007400407?keep_tld=1,2022-01-07T06:13:10-0500,tinrudnički,/events/future-food-conference-alt-protein-industry-and-our-diet,https://www.proteinreport.org/sites/default/files/2022-01/Dizajn%20bez%20naslova%20%285%29.png,https://www.proteinreport.org/sites/default/files/2022-01/Dizajn%20bez%20naslova.jpg,"Cell-Based, Plant-Based, Microbial, Fungi","Meat, Seafood, Ingredients","Business, Sci-Tech",International,"A student-organized conference featuring companies like MOSA MEAT, THE GOOD FOOD INSTITUTE, WILDTYPE, REVO FOODS, MYCORENA + MANY MORE.
It's a 3-day online event with each day focusing on one alternative protein pillar. The event is FREE FOR ALL and there's a networking session with the companies on each day. Don't miss your chance to break into the field or secure an internship!","<p>A student-organized conference featuring companies like <strong>MOSA MEAT, THE GOOD FOOD INSTITUTE, WILDTYPE, REVO FOODS, MYCORENA + MANY MORE.</strong></p>
<p>It's a 3-day online event with each day focusing on one alternative protein pillar. The event is<strong> FREE FOR ALL</strong> and there's a <strong>networking session</strong> with the companies on each day. Don't miss your chance to break into the field or secure an internship!</p>",2022-01-17,2022-01-21,True,,,10230,
"Cultivate Tomorrow Hackathon Pitch Day",https://www.eventbrite.com/e/cultivate-tomorrow-hackathon-pitch-day-virtual-tickets-219988510557,2021-12-30T03:12:00-0500,NL,/events/cultivate-tomorrow-hackathon-pitch-day,https://www.proteinreport.org/sites/default/files/2021-12/ctlogo.jpg,https://www.proteinreport.org/sites/default/files/2021-12/ctlogo_0.jpg,Cell-Based,"Meat, Dairy, Seafood",Business,"US &amp; Canada","Get immersed in the Cultivated Food, Cell Ag, Precision Fermentation Industry!
About this event
**This event is for those interested in viewing the final hackathon presentations, as well as those already registered to participate in the hackathon. Registering here does not enroll participants in the hackathon challenge.***
Location: Virtual, Hopin Platform","<p><strong>Get immersed in the Cultivated Food, Cell Ag, Precision Fermentation Industry!</strong></p>
<p><strong>About this event</strong></p>
<p>**This event is for those interested in viewing the final hackathon presentations, as well as those already registered to participate in the hackathon. Registering here does not enroll participants in the hackathon challenge.***</p>
<p>Location: Virtual, Hopin Platform</p>
<p>Cultivate Tomorrow is the first US hackathon focused solely on cellular agriculture and cell cultured food. This hackathon will work to lower the barrier to enter the cell cultured food industry for STEM and non-STEM individuals. We will create a large network and community of diverse individuals with different backgrounds, skills, and interests. Together we will brainstorm, innovate, and re-imagine the future of food.</p>
<p>This event is open to all undergraduate and graduate students across the US who are interested in becoming more immersed in this field, as well as anyone related to the food and agriculture technology industry or biotech and food tech research. We believe that only through cross-collaboration will this industry succeed in redefining the food system and allocation of our planet's natural resources.</p>
<p>Our teams will be working on one of our three hackathon tracks and submit their final proposals by February 1st. This event will conclude the hackathon with keynote speakers, panel discussions, student presentation booths, networking events, and final awards!</p>
<p>We will have three unique panel discussions and presentations with experts and innovators in these fields:</p>
<ol>
<li>Panel: What to know about starting your own cultivated food company?</li>
<li>Panel: The Ethics of Cultivated Food</li>
<li>Lightning Presentations: Even Newer Food Tech!</li>
</ol>
<p>Learn more on our website: <a href=""https://www.cultivate-tmrw.com"">https://www.cultivate-tmrw.com</a></p>",2022-02-12,2022-02-12,True,,,10203,
"Future Food-Tech San Francisco",https://futurefoodtechsf.com/,2021-12-14T11:31:52-0500,NL,/events/future-food-tech-san-francisco-0,https://www.proteinreport.org/sites/default/files/2021-12/FFT_SF2022_logo%20-%20Copy.png,https://www.proteinreport.org/sites/default/files/2021-12/FFT_SF2022_logo.png,"Cell-Based, Plant-Based, Microbial, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,"US &amp; Canada","It’s been three years since we last gathered the agri-food community together in San Francisco, and we’re set for an explosion of ideas and opportunities when we reunite on March 24-25. The Future Food-Tech Summit has become the annual meeting place for the global food-tech ecosystem. Food brands, active investors, start-ups and technology leaders come together to exchange insights, be inspired, and identify future partners.","<p>It’s been three years since we last gathered the agri-food community together in San Francisco, and we’re set for an explosion of ideas and opportunities when we reunite on March 24-25. The Future Food-Tech Summit has become the annual meeting place for the global food-tech ecosystem. Food brands, active investors, start-ups and technology leaders come together to exchange insights, be inspired, and identify future partners.</p>",2022-03-24,2022-03-25,False,"United States","San Francisco",10173,
"Characterization of cultivated mackerel muscle cells with Michael Saad",https://zoom.us/webinar/register/2916101217315/WN_uxSaUEOjR8SXVlB1fTWQ5g,2021-11-24T09:40:57-0500,proteinreport,/events/characterization-cultivated-mackerel-muscle-cells-michael-saad,https://www.proteinreport.org/sites/default/files/2021-11/gfi_0.png,https://www.proteinreport.org/sites/default/files/2021-11/banner_2.jpg,Cell-Based,Seafood,Sci-Tech,International,"Generating cell lines for cultivated seafood is relatively understudied, especially when compared to mammalian species. After screening different aquatic organisms, the Kaplan Lab at Tufts University successfully isolated satellite cells from mackerel (Scomber scombrus). Characterization is underway, as proof of satellite cell stemness, myogenic differentiation efficiency, and transdifferentiation into adipocyte-like cells have all been demonstrated. Join Michael Saad, a Ph.D.","<p>Generating cell lines for cultivated seafood is relatively understudied, especially when compared to mammalian species. After screening different aquatic organisms, the Kaplan Lab at Tufts University successfully isolated satellite cells from mackerel (Scomber scombrus). Characterization is underway, as proof of satellite cell stemness, myogenic differentiation efficiency, and transdifferentiation into adipocyte-like cells have all been demonstrated. Join Michael Saad, a Ph.D. Candidate at Tufts University, as he outlines the benefits and challenges of cellular aquaculture and delves into the details behind the characterization of primary mackerel muscle cells.</p>
<p><strong>Meet the speaker:</strong><br />
Michael Saad is a second-year Ph.D. student in the Kaplan Lab at Tufts University, where his research focuses on cultivated seafood. He received his B.S. in Bioengineering from Rice University. Prior to joining the Cellular Agriculture Group at Tufts, Michael was a research associate at Perfect Day Foods on the Bio-Analytics team, supporting the R&amp;D team as Perfect Day brought animal-free dairy products to shelves.</p>
<p><strong>Time:</strong> Dec 15, 2021 10:00 AM in <a href="";"">Pacific Time (US and Canada)</a></p>",2021-12-15,2021-12-15,True,,,10082,
"A quantitative approach to alternative seafood prioritization",https://zoom.us/webinar/register/WN_HEQ-gR3_QGunjg8CvLWB1A,2021-11-23T03:59:07-0500,NL,/events/quantitative-approach-alternative-seafood-prioritization,https://www.proteinreport.org/sites/default/files/2021-11/gfi.png,https://www.proteinreport.org/sites/default/files/2021-11/banner_1.jpg,Cell-Based,Seafood,Sci-Tech,International,"Interested in a quantitative approach to prioritizing seafood species archetypes for alternative seafood development? Join GFI's Sustainable Seafood Initiative and four student consultants for an overview of the ArcheType Library for Alternative Seafood (ATLAS) database. The presentation will cover the purpose of the tool, how the new version differs from the original, and the brand new dashboard to enable easier visualization of the data.","<p>Interested in a quantitative approach to prioritizing seafood species archetypes for alternative seafood development? Join GFI's Sustainable Seafood Initiative and four student consultants for an overview of the ArcheType Library for Alternative Seafood (ATLAS) database. The presentation will cover the purpose of the tool, how the new version differs from the original, and the brand new dashboard to enable easier visualization of the data.</p>",2021-12-01,2021-12-01,True,,,10070,
"Cellular Agriculture: End of the Year Summit 2021",https://2021.cell.ag/tickets/?coupon=PROTEINREPORT20,2021-11-18T07:46:48-0500,proteinreport,/events/cellular-agriculture-end-year-summit-2021,https://www.proteinreport.org/sites/default/files/2021-11/Vygd8qLcU2THKcQQ7jSUpg.jpg,https://www.proteinreport.org/sites/default/files/2021-11/banner_0.jpg,"Cell-Based, Microbial","Meat, Dairy, Seafood, Ingredients",Business,International,"CellAgri is excited to present the Cellular Agriculture: End of the Year Summit 2021 to bring together leaders in the cellular agriculture field to highlight the field's achievements and accomplishments.","<p>CellAgri is excited to present the <strong>Cellular Agriculture: End of the Year Summit 2021</strong> to bring together leaders in the cellular agriculture field to highlight the field's achievements and accomplishments.</p>",2021-12-09,2021-12-09,True,,,10047,
"ThinkTech! - Alternative Proteins",https://apply.eitfood.eu/courses/course/98-thinktech-alternative-proteins,2021-11-13T10:35:50-0500,proteinreport,/events/thinktech-alternative-proteins,https://www.proteinreport.org/sites/default/files/2021-11/eit.png,https://www.proteinreport.org/sites/default/files/2021-11/1213_ThinkTech_BANNER_V1_8th%20and%209th%20Dec_0.jpg,"Plant-Based, Microbial","Meat, Seafood, Ingredients","Business, Sci-Tech",International,"Objectives
The ThinkTech! educational programme will enable you to develop skills related to novel food processing technologies focusing on technical aspects, as well as the related soft skills.
Thus, your critical thinking on the development of sustainable food technology solutions will be enhanced, so that you are able to appraise unintended consequences like product performance or sustainability implications.","<p><strong>Objectives</strong><br />
The ThinkTech! educational programme will enable you to develop skills related to novel food processing technologies focusing on technical aspects, as well as the related soft skills.</p>
<p>Thus, your critical thinking on the development of sustainable food technology solutions will be enhanced, so that you are able to appraise unintended consequences like product performance or sustainability implications.</p>
<p><strong>Advantages</strong><br />
Our mission is to give you detailed theoretical and practical knowledge about several technologies and skills:</p>
<p>Approaches for protein fractionation from plant and microbial sources (EMF = electro-membrane filtration, PLE = Pressurized Liquid Extraction, PCT = Pressure Change Technology)<br />
Extrusion technology for processing of alternative proteins<br />
Inspection of sustainability aspects of the production and advanced technologies</p>
<p><strong>Career Opportunities</strong><br />
Get experiences in the knowledge of new technologies and the processing of alternative proteins. This may help to step into new workplaces.</p>
<p><strong>Duration &amp; Dates</strong><br />
This course will take place on December 8th and 9th of 2021.</p>",2021-12-08,2021-12-09,True,,,10013,
"SynBioBeta 2022",https://2021.synbiobeta.com/,2021-11-05T09:39:19-0400,NL,/events/synbiobeta-2022,https://www.proteinreport.org/sites/default/files/2021-11/SynBioBeta.jpg,https://www.proteinreport.org/sites/default/files/2021-11/banner.jpg,"Cell-Based, Microbial, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients, Materials","Business, Sci-Tech","US &amp; Canada","Live and in person January 25th - 27th 2022 @ the Oakland Marriott City Center","<p>Live and in person January 25th - 27th 2022 @ the Oakland Marriott City Center</p>",2022-01-25,2022-01-27,False,"United States",Oakland,9972,
"Smart Protein Summit 2021",https://smartproteinsummit.com/,2021-10-22T10:08:07-0400,proteinreport,/events/smart-protein-summit-2021,https://www.proteinreport.org/sites/default/files/2021-10/header-sps-logo-1.png,https://www.proteinreport.org/sites/default/files/2021-10/banner.jpg,"Cell-Based, Plant-Based, Microbial","Meat, Dairy, Eggs, Seafood",Business,"Asia, International","The 3-day virtual event will bring together the most important stakeholders within the ecosystem: businesses, venture capital firms, entrepreneurs, scientists, students, researchers, and policymakers. An audience that moves the smart protein sector forward like no other. The Smart Protein Summit 2021 will include major announcements of market launches and policy support for the space, and include both public-facing panels and closed-door roundtable sessions aimed at helping key stakeholders forge collaborations.","<p>The 3-day virtual event will bring together the most important stakeholders within the ecosystem: businesses, venture capital firms, entrepreneurs, scientists, students, researchers, and policymakers. An audience that moves the smart protein sector forward like no other. The Smart Protein Summit 2021 will include major announcements of market launches and policy support for the space, and include both public-facing panels and closed-door roundtable sessions aimed at helping key stakeholders forge collaborations.</p>
<p>The Summit is your chance to hear from thought leaders, industry titans, pioneering scientists, and avant-garde entrepreneurs. Designed to facilitate action, learning, and networking, your world-changing smart protein plans could come to life through the Smart Protein Summit 2021.</p>",2021-11-10,2021-11-12,True,,,9913,
"2nd Fermentation-Enabled Alternative Protein Innovation Summit",https://fermentation-enabled-proteins.com/,2021-10-15T03:57:03-0400,NL,/events/2nd-fermentation-enabled-alternative-protein-innovation-summit,https://www.proteinreport.org/sites/default/files/2021-10/xDN-DLyT_400x400.png,https://www.proteinreport.org/sites/default/files/2021-10/Fermentation-Enabled-Alternative-Protein-Innovation-logo-FINAL-2048x381.jpg,"Plant-Based, Microbial, Algae, Fungi","Meat, Dairy, Eggs, Seafood, Ingredients",Business,"US &amp; Canada","The 2nd Fermentation-Enabled Alternative Protein Innovation Summit will be taking place January 18-20 in San Francisco. It will host decision-makers from biotech, food tech, multinationals, independent food brands and more for those looking to up-scale and commercialize fermentation-enabled alternative proteins.
This is the only industry-led forum dedicated to scaling-up production platforms to commercialize clean-label, animal-free and regulatory approved alternative meat, diary, eggs and functional protein ingredients.","<p>The 2nd Fermentation-Enabled Alternative Protein Innovation Summit will be taking place January 18-20 in San Francisco. It will host decision-makers from biotech, food tech, multinationals, independent food brands and more for those looking to up-scale and commercialize fermentation-enabled alternative proteins.</p>
<p>This is the only industry-led forum dedicated to scaling-up production platforms to commercialize clean-label, animal-free and regulatory approved alternative meat, diary, eggs and functional protein ingredients.</p>
<p>Back for its second year, this forum will continue to unite the alternative protein community and ensure sharing of successes and strategy continues.</p>",2022-01-18,2022-01-20,True,"United States","San Francisco",9868,
"Q&amp;A with Mirasbek Kuterbekov from Hoxton Farms",https://www.eventbrite.co.uk/e/qa-with-mirasbek-kuterbekov-from-hoxton-farms-tickets-187061414727,2021-10-13T17:09:06-0400,jane,/events/qa-mirasbek-kuterbekov-hoxton-farms,https://www.proteinreport.org/sites/default/files/2021-10/1542132883700.jpg,,Cell-Based,Ingredients,Business,Europe,"Join us for a Q&amp;A event with senior scientist Mirasbek Kuterbekov, who will introduce his work at Hoxton Farms and talk about his career journey into the space. He will also answer your questions about cellular agriculture and working in the field.
Based in London, Hoxton Farms is cultivating a revolution. They combine cell biology and mathematical modelling to make a better kind of fat. Starting from just a few cells, they grow purified animal fat in bioreactors to produce a delicious, cruelty-free and sustainable ingredient.","<p>Join us for a Q&amp;A event with senior scientist Mirasbek Kuterbekov, who will introduce his work at Hoxton Farms and talk about his career journey into the space. He will also answer your questions about cellular agriculture and working in the field.</p>
<p>Based in London, <a href=""https://hoxtonfarms.com/"">Hoxton Farms</a> is cultivating a revolution. They combine cell biology and mathematical modelling to make a better kind of fat. Starting from just a few cells, they grow purified animal fat in bioreactors to produce a delicious, cruelty-free and sustainable ingredient.</p>",2021-11-10,2021-11-10,True,,,9855,
"Thought For Food Summit 2021",https://thoughtforfood.org/tff-2021-summit/,2021-09-29T04:49:22-0400,proteinreport,/events/thought-food-summit-2021,https://www.proteinreport.org/sites/default/files/2021-09/TFF_Original_RGB.png,https://www.proteinreport.org/sites/default/files/2021-09/1500x500.jpg,"Cell-Based, Plant-Based","Meat, Seafood","Business, Environment",International,"Dubbed the “SXSW of Food and Agriculture,” the TFF Summit 2021 is a mainstage event at the UN FAO’s World Food Forum and is held in support of the UN Food Systems Summit.","<p>Dubbed the “SXSW of Food and Agriculture,” the TFF Summit 2021 is a mainstage event at the UN FAO’s World Food Forum and is held in support of the UN Food Systems Summit.</p>",2021-10-02,2021-10-02,False,Italy,Rome,9760,
"Innovative Women Changing the Global Future of Food",https://ucdavis.zoom.us/meeting/register/tJIqc-urqjgrE9avdsVWNlz9FWHkwsABftM9,2021-09-10T14:31:11-0400,proteinreport,/events/innovative-women-changing-global-future-food,https://www.proteinreport.org/sites/default/files/2021-09/biotech-logo_0.jpg,https://www.proteinreport.org/sites/default/files/2021-09/banner_2.jpg,Cell-Based,"Meat, Dairy",Sci-Tech,"International, US &amp; Canada","The UC Davis Cultivated Meat Research Consortium is proud to present
“Innovative Women Changing the Global Future of Food”","<p>The UC Davis Cultivated Meat Research Consortium is proud to present</p>
<p><strong><em>“Innovative Women Changing the Global Future of Food”</em></strong></p>
<p>This virtual panel event will feature top leaders in food innovation and entrepreneurship forging new ways to approach meat, dairy and seafood! Join us for this exciting virtual panel on September 15th at 6-7:30 pm PT hosted by our UC Davis Biotechnology Program &amp; Cultivated Meat Research Consortium. Our cultivated meat research students will ask their own questions of these amazing women to learn how they are pioneering a new food system!</p>
<p>To register: <a href=""https://lnkd.in/gFgJQbJJ"">https://lnkd.in/gFgJQbJJ</a></p>
<p>We are looking forward to  <a href=""https://www.linkedin.com/in/ACoAAAE-ttYBqdR4lnGrRgUuSh15c0EvqTjnMbM"">Sandhya Sriram, PhD</a>, <a href=""https://www.linkedin.com/in/ACoAAAyeBQkBxLXuSwO4pSjmZLOu9WloanDjpZQ"">Patricia Bubner, PhD</a>, <a href=""https://www.linkedin.com/in/ACoAAAWoYOwBayQDl6dS130nSm1gvm2XxyJgkI0"">Fengru Lin</a> and <a href=""https://www.linkedin.com/in/ACoAABc7LFABPbwjqqAb3JXItrMv4qo54IUYQLI"">Jess Krieger</a> speak about their vision <em>and their companies (</em><em><a href=""https://www.linkedin.com/company/shiokmeats/"">Shiok Meats</a>, <a href=""https://www.linkedin.com/company/orbillion/"">Orbillion Bio (YC W21)</a>, <a href=""https://www.linkedin.com/company/turtletree/"">TurtleTree</a>, <a href=""https://www.linkedin.com/company/ohayo-valley/"">Ohayo Valley</a>)!</em></p>
<p>Hosted by Biotechnology Program Director <a href=""https://www.linkedin.com/in/ACoAAADd_xABgtlflyqnYEG7xHiTQ2cGzIBzUXo"">Denneal Jamison-McClung</a> with students <a href=""https://www.linkedin.com/in/kara-e-leong/detail/recent-activity/"">Minami Ogawa</a>, <a href=""https://www.linkedin.com/in/kara-e-leong/detail/recent-activity/"">Xingyu Chen</a>, <a href=""https://www.linkedin.com/in/kara-e-leong/detail/recent-activity/"">Carolina F.</a> and <a href=""https://www.linkedin.com/in/kara-e-leong/detail/recent-activity/"">Grace Kwong</a> assisting with their own questions.</p>
<p>We are proudly sponsored by our <a href=""https://www.linkedin.com/company/merck-kgaa/"">Merck KGaA</a> and <a href=""https://www.linkedin.com/company/upsidefoods/"">UPSIDE Foods </a>as a mid-week event to our</p>
<p>UCD Short Course Seminar Series in Cultivated Meat <a href=""https://ces-apps.ucdavis.edu/confreg/index.cfm?confid=1166&amp;webid=5663"">https://ces-apps.ucdavis.edu/confreg/index.cfm?confid=1166&amp;webid=5663</a> ,</p>
<p>the first comprehensive academic week long training course!</p>",2021-09-15,2021-09-15,True,,,9669,
"Future of Protein Production Summit",https://www.futureofproteinproduction.com,2021-09-08T08:10:04-0400,proteinreport,/events/future-protein-production-summit,https://www.proteinreport.org/sites/default/files/2021-09/logo_0.png,https://www.proteinreport.org/sites/default/files/2021-09/banner_1.jpg,"Cell-Based, Plant-Based, Microbial","Meat, Dairy, Seafood, Ingredients",Business,International,"The Future of Protein Production Summit is the must attend virtual event for any company involved in making the global food system more sustainable, kind and fair for the planet, people, and animals.
The senior executive-level conference presents an unbiased opportunity to explore and discuss this highly complex issue with world-leading experts and showcase a wide range of solutions that will have a positive impact through abolishing animal cruelty, reducing global pollution and improving human health.","<p>The Future of Protein Production Summit is the must attend virtual event for any company involved in making the global food system more sustainable, kind and fair for the planet, people, and animals.</p>
<p>The senior executive-level conference presents an unbiased opportunity to explore and discuss this highly complex issue with world-leading experts and showcase a wide range of solutions that will have a positive impact through abolishing animal cruelty, reducing global pollution and improving human health.</p>
<p>The insights shared will keep you up-to-date with the most recent solutions, technology, policy, and concepts across the food system to make alternative proteins accessible, affordable, and delicious as well as the best opportunities to meet key industries contributors.</p>",2022-03-08,2022-03-10,True,,,9648,
"Future Farming Webinar",https://forms.gle/P4VDUSMwVy7yjXYw7,2021-08-25T02:41:48-0400,subashinikennedy,/events/future-farming-webinar,https://www.proteinreport.org/sites/default/files/2021-08/igemlogo.jpg,https://www.proteinreport.org/sites/default/files/2021-08/banner_0.jpg,"Cell-Based, Plant-Based, Microbial, Animal","Meat, Dairy, Feed","Business, Sci-Tech",International,"Farming is the backbone of every country, and as young scientists, we wish to spread awareness of the advances in this field. In the Future Farming Webinar, our speakers will take you through the journey of how technology/synthetic biology can join hands with farming to feed the growing human population. From intellectual property in agriculture to cellular agriculture we are presenting you the dream speaker line up with great scientists and pioneers of the cellular agriculture field.
Speakers:","<p>Farming is the backbone of every country, and as young scientists, we wish to spread awareness of the advances in this field. In the Future Farming Webinar, our speakers will take you through the journey of how technology/synthetic biology can join hands with farming to feed the growing human population. From intellectual property in agriculture to cellular agriculture we are presenting you the dream speaker line up with great scientists and pioneers of the cellular agriculture field.</p>
<p><strong>Speakers:</strong></p>
<p>Mark Post, Founder of Mosa Meat - creator of first cultured meat burger</p>
<p>Ruth Purcell, Cellular Agriculture Australia (CAA)</p>
<p>Ola Thomsson, Swedish University of Agricultural Science (SLU)</p>
<p>Tomas Linder, Swedish University of Agricultural Science (SLU)</p>
<p>Sara Petersson, Patent information specialist at Uppsala University</p>
<p>Michael Saad, Researcher at Tufts University</p>
<p>Paul Shapiro, CEO The Better Meat Co.</p>
<p>Irfan Tahir, Research fellow at New Harvest</p>
<p>Abi Aspen Glencross, Co-founder of The Sustainable Food Story</p>",2021-08-29,2021-08-30,True,,,9546,
"Cell Based Protein Industry Panel Discussion",https://www.airmeet.com/e/0923ce70-f07a-11eb-a56c-d93d3574675b,2021-08-13T18:31:06-0400,"Avery Parkinson",/events/cell-based-protein-industry-panel-discussion,https://www.proteinreport.org/sites/default/files/2021-08/1548697243995.png,https://www.proteinreport.org/sites/default/files/2021-08/Screen%20Shot%202021-08-13%20at%206.33.39%20PM.png,Cell-Based,"Meat, Dairy, Eggs, Seafood, Ingredients",Business,International,"Join us for a panel discussion with industry leaders on trends, collaboration opportunities, and considerations in the cell-based protein space. There will be a moderator-led discussion of essential questions as well as time provided for audience members to ask questions.
Panelists:

Liz Specht, Ph.D (Vice President of Science and Technology at the Good Food Institute)
Nieves Martinez Marshall (CEO and Co-Founder of Novel Farms)
Other speakers TBA!","<p>Join us for a panel discussion with industry leaders on trends, collaboration opportunities, and considerations in the cell-based protein space. There will be a moderator-led discussion of essential questions as well as time provided for audience members to ask questions.</p>
<p>Panelists:</p>
<ul>
<li>Liz Specht, Ph.D (Vice President of Science and Technology at the Good Food Institute)</li>
<li>Nieves Martinez Marshall (CEO and Co-Founder of Novel Farms)</li>
<li>Other speakers TBA!</li>
</ul>",2021-08-26,2021-08-26,True,,,9491,
"Sustainable Foods London 2022",https://sustainablefoodsconference.com/,2021-08-11T12:40:48-0400,NL,/events/sustainable-foods-london-2022,https://www.proteinreport.org/sites/default/files/2021-11/SustainFoods__LONDON_DATE_LONDON-1.jpg,,"Cell-Based, Plant-Based, Microbial","Meat, Dairy, Seafood, Ingredients","Business, Environment",Europe,"The Sustainable Foods Conference, now in its 2nd year, brings together the most innovative sustainable food brands and entrepreneurs with like-minded global investors, buyers and consultants.
We do this by utilising our powerful global relationships with an unmissable agenda to create a two-day conference that offers attendees, and exhibitors unparalleled networking opportunities.
What makes our event different is that we will provide a platform for our community to connect and find solutions that will deliver sustainable food systems.","<p>The Sustainable Foods Conference, now in its 2nd year, brings together the most innovative sustainable food brands and entrepreneurs with like-minded global investors, buyers and consultants.</p>
<p>We do this by utilising our powerful global relationships with an unmissable agenda to create a two-day conference that offers attendees, and exhibitors unparalleled networking opportunities.</p>
<p>What makes our event different is that we will provide a platform for our community to connect and find solutions that will deliver sustainable food systems.</p>",2022-03-30,2022-03-31,False,"United Kingdom",London,9481,
"Food Biotech Congress",https://www.lsxleaders.com/food-biotech-congress,2021-08-11T09:46:34-0400,paul,/events/food-biotech-congress,https://www.proteinreport.org/sites/default/files/2021-08/Food%20Biotech%202021%20100x100.png,https://www.proteinreport.org/sites/default/files/2021-08/Food%20Biotech%202021%201920x400%20Logo.png,"Cell-Based, Plant-Based, Microbial, Fungi, Algae","Meat, Dairy, Eggs, Seafood, Pet Food, Ingredients","Business, Culture, Sci-Tech","Europe, International","The Food Biotech Congress is not another alternative protein, plant-based conference or generic food technology or bulk buy ingredients event.
Instead, it’s a next-gen ingredients forum for senior executives covering the critical business dynamics and taste, texture and nutrition challenges from biotech and cell-based approaches across the main food pillars (Fat, Protein, Sugar and Salt).","<p>The Food Biotech Congress is not another alternative protein, plant-based conference or generic food technology or bulk buy ingredients event.</p>
<p>Instead, it’s a next-gen ingredients forum for senior executives covering the critical business dynamics and taste, texture and nutrition challenges from biotech and cell-based approaches across the main food pillars (Fat, Protein, Sugar and Salt).</p>
<p>Spotlighting companies solely at the disruptive intersection between food and biotech. Including cultivated food, digital sensory, fermentation and bio-manufacturing developing functional ingredients to tackle not only developing cost effective sustainable food products to satisfy the consumer trend with traditional profiles but also address the growing consumer need to deliver more healthier options.</p>
<p>Proven track record in building executive level communities across the biotech, nutrition, health and wellness industries. Enabling food innovators, CPG/FMCG, ingredient suppliers, plant-based companies, manufacturers and investors to find the right partner and grow long-lasting relationships.</p>
<p>We hope you can join us to Connect with a Purpose. </p>",2021-11-10,2021-11-11,True,,,9479,
